timeindex,electricity-load-profile
2015-01-01T00:00:00Z,43102
2015-01-01T01:00:00Z,41692
2015-01-01T02:00:00Z,40593
2015-01-01T03:00:00Z,40218
2015-01-01T04:00:00Z,39606
2015-01-01T05:00:00Z,37484
2015-01-01T06:00:00Z,37679
2015-01-01T07:00:00Z,38082
2015-01-01T08:00:00Z,39974
2015-01-01T09:00:00Z,42330
2015-01-01T10:00:00Z,45380
2015-01-01T11:00:00Z,46392
2015-01-01T12:00:00Z,46599
2015-01-01T13:00:00Z,45802
2015-01-01T14:00:00Z,45775
2015-01-01T15:00:00Z,48098
2015-01-01T16:00:00Z,52561
2015-01-01T17:00:00Z,53886
2015-01-01T18:00:00Z,53289
2015-01-01T19:00:00Z,51143
2015-01-01T20:00:00Z,50797
2015-01-01T21:00:00Z,51205
2015-01-01T22:00:00Z,47947
2015-01-01T23:00:00Z,44987
2015-01-02T00:00:00Z,42641
2015-01-02T01:00:00Z,41621
2015-01-02T02:00:00Z,41526
2015-01-02T03:00:00Z,41842
2015-01-02T04:00:00Z,43825
2015-01-02T05:00:00Z,48709
2015-01-02T06:00:00Z,54816
2015-01-02T07:00:00Z,58782
2015-01-02T08:00:00Z,60837
2015-01-02T09:00:00Z,62594
2015-01-02T10:00:00Z,64619
2015-01-02T11:00:00Z,64843
2015-01-02T12:00:00Z,64239
2015-01-02T13:00:00Z,63651
2015-01-02T14:00:00Z,63105
2015-01-02T15:00:00Z,64606
2015-01-02T16:00:00Z,66920
2015-01-02T17:00:00Z,66567
2015-01-02T18:00:00Z,64395
2015-01-02T19:00:00Z,60881
2015-01-02T20:00:00Z,59128
2015-01-02T21:00:00Z,58005
2015-01-02T22:00:00Z,53479
2015-01-02T23:00:00Z,49534
2015-01-03T00:00:00Z,47559
2015-01-03T01:00:00Z,46483
2015-01-03T02:00:00Z,46550
2015-01-03T03:00:00Z,47393
2015-01-03T04:00:00Z,49124
2015-01-03T05:00:00Z,52818
2015-01-03T06:00:00Z,58346
2015-01-03T07:00:00Z,61551
2015-01-03T08:00:00Z,62746
2015-01-03T09:00:00Z,64020
2015-01-03T10:00:00Z,65409
2015-01-03T11:00:00Z,65162
2015-01-03T12:00:00Z,64552
2015-01-03T13:00:00Z,63756
2015-01-03T14:00:00Z,63148
2015-01-03T15:00:00Z,64915
2015-01-03T16:00:00Z,67995
2015-01-03T17:00:00Z,67590
2015-01-03T18:00:00Z,65815
2015-01-03T19:00:00Z,62665
2015-01-03T20:00:00Z,60686
2015-01-03T21:00:00Z,59677
2015-01-03T22:00:00Z,55204
2015-01-03T23:00:00Z,50771
2015-01-04T00:00:00Z,48624
2015-01-04T01:00:00Z,47706
2015-01-04T02:00:00Z,47997
2015-01-04T03:00:00Z,48779
2015-01-04T04:00:00Z,50508
2015-01-04T05:00:00Z,54646
2015-01-04T06:00:00Z,60433
2015-01-04T07:00:00Z,64002
2015-01-04T08:00:00Z,65276
2015-01-04T09:00:00Z,66538
2015-01-04T10:00:00Z,68198
2015-01-04T11:00:00Z,67848
2015-01-04T12:00:00Z,66902
2015-01-04T13:00:00Z,65686
2015-01-04T14:00:00Z,65447
2015-01-04T15:00:00Z,66626
2015-01-04T16:00:00Z,69349
2015-01-04T17:00:00Z,69207
2015-01-04T18:00:00Z,67245
2015-01-04T19:00:00Z,63883
2015-01-04T20:00:00Z,61903
2015-01-04T21:00:00Z,60357
2015-01-04T22:00:00Z,55966
2015-01-04T23:00:00Z,52349
2015-01-05T00:00:00Z,49994
2015-01-05T01:00:00Z,48849
2015-01-05T02:00:00Z,48659
2015-01-05T03:00:00Z,49518
2015-01-05T04:00:00Z,51396
2015-01-05T05:00:00Z,54729
2015-01-05T06:00:00Z,60358
2015-01-05T07:00:00Z,63549
2015-01-05T08:00:00Z,64713
2015-01-05T09:00:00Z,66135
2015-01-05T10:00:00Z,67407
2015-01-05T11:00:00Z,67091
2015-01-05T12:00:00Z,65432
2015-01-05T13:00:00Z,63796
2015-01-05T14:00:00Z,63226
2015-01-05T15:00:00Z,64984
2015-01-05T16:00:00Z,67436
2015-01-05T17:00:00Z,66711
2015-01-05T18:00:00Z,64136
2015-01-05T19:00:00Z,60309
2015-01-05T20:00:00Z,58096
2015-01-05T21:00:00Z,57227
2015-01-05T22:00:00Z,53132
2015-01-05T23:00:00Z,49137
2015-01-06T00:00:00Z,46492
2015-01-06T01:00:00Z,45137
2015-01-06T02:00:00Z,44896
2015-01-06T03:00:00Z,44958
2015-01-06T04:00:00Z,43942
2015-01-06T05:00:00Z,42786
2015-01-06T06:00:00Z,44975
2015-01-06T07:00:00Z,47781
2015-01-06T08:00:00Z,50725
2015-01-06T09:00:00Z,53330
2015-01-06T10:00:00Z,55062
2015-01-06T11:00:00Z,54626
2015-01-06T12:00:00Z,53051
2015-01-06T13:00:00Z,51270
2015-01-06T14:00:00Z,51105
2015-01-06T15:00:00Z,53817
2015-01-06T16:00:00Z,57590
2015-01-06T17:00:00Z,57637
2015-01-06T18:00:00Z,55970
2015-01-06T19:00:00Z,52468
2015-01-06T20:00:00Z,51081
2015-01-06T21:00:00Z,50960
2015-01-06T22:00:00Z,47359
2015-01-06T23:00:00Z,43688
2015-01-07T00:00:00Z,41252
2015-01-07T01:00:00Z,39807
2015-01-07T02:00:00Z,39333
2015-01-07T03:00:00Z,39960
2015-01-07T04:00:00Z,39249
2015-01-07T05:00:00Z,37622
