timeindex,electricity-load-profile
2015-01-01T00:00:00Z,43102.4900624782
2015-01-01T01:00:00Z,41692.0028709553
2015-01-01T02:00:00Z,40592.8221167985
2015-01-01T03:00:00Z,40218.1014051541
2015-01-01T04:00:00Z,39606.057576135
2015-01-01T05:00:00Z,37483.6010324878
2015-01-01T06:00:00Z,37678.6479670104
2015-01-01T07:00:00Z,38082.1933487812
2015-01-01T08:00:00Z,39974.0525314165
2015-01-01T09:00:00Z,42329.9889030883
2015-01-01T10:00:00Z,45379.639002471
2015-01-01T11:00:00Z,46392.3457462483
2015-01-01T12:00:00Z,46598.9225488215
2015-01-01T13:00:00Z,45802.4008309928
2015-01-01T14:00:00Z,45774.5369832039
2015-01-01T15:00:00Z,48097.805395399
2015-01-01T16:00:00Z,52560.8251533172
2015-01-01T17:00:00Z,53885.7991567982
2015-01-01T18:00:00Z,53289.1284851799
2015-01-01T19:00:00Z,51142.6513830939
2015-01-01T20:00:00Z,50796.755341576
2015-01-01T21:00:00Z,51205.1048350346
2015-01-01T22:00:00Z,47946.9562884037
2015-01-01T23:00:00Z,44986.6626664131
2015-01-02T00:00:00Z,42641.2953404544
2015-01-02T01:00:00Z,41620.9020179767
2015-01-02T02:00:00Z,41525.7806065592
2015-01-02T03:00:00Z,41841.8911556131
2015-01-02T04:00:00Z,43825.0284603156
2015-01-02T05:00:00Z,48708.8884020806
2015-01-02T06:00:00Z,54815.8751795463
2015-01-02T07:00:00Z,58782.1497889513
2015-01-02T08:00:00Z,60837.3487689701
2015-01-02T09:00:00Z,62593.7320020109
2015-01-02T10:00:00Z,64619.1454895656
2015-01-02T11:00:00Z,64843.0170942147
2015-01-02T12:00:00Z,64238.6598438959
2015-01-02T13:00:00Z,63650.6365733155
2015-01-02T14:00:00Z,63104.8894855873
2015-01-02T15:00:00Z,64605.6939768399
2015-01-02T16:00:00Z,66920.3149879971
2015-01-02T17:00:00Z,66566.7323677788
2015-01-02T18:00:00Z,64395.2738849165
2015-01-02T19:00:00Z,60880.5857741598
2015-01-02T20:00:00Z,59128.0458304692
2015-01-02T21:00:00Z,58004.8445178736
2015-01-02T22:00:00Z,53479.3713080147
2015-01-02T23:00:00Z,49534.2347900357
2015-01-03T00:00:00Z,47558.7840640336
2015-01-03T01:00:00Z,46482.663045978
2015-01-03T02:00:00Z,46549.9206096065
2015-01-03T03:00:00Z,47392.5617996375
2015-01-03T04:00:00Z,49123.963651902
2015-01-03T05:00:00Z,52818.3255397805
2015-01-03T06:00:00Z,58345.9364477038
2015-01-03T07:00:00Z,61551.2397657695
2015-01-03T08:00:00Z,62745.5419313437
2015-01-03T09:00:00Z,64019.5923509346
2015-01-03T10:00:00Z,65408.9414510314
2015-01-03T11:00:00Z,65162.0101102811
2015-01-03T12:00:00Z,64551.8879259371
2015-01-03T13:00:00Z,63756.327030446
2015-01-03T14:00:00Z,63148.126490777
2015-01-03T15:00:00Z,64915.0787695309
2015-01-03T16:00:00Z,67994.5143613776
2015-01-03T17:00:00Z,67590.0081572692
2015-01-03T18:00:00Z,65815.3692998149
2015-01-03T19:00:00Z,62664.8328549896
2015-01-03T20:00:00Z,60686.4996619748
