timeindex,Mid-electricity-load-profile,South-electricity-load-profile,North-electricity-load-profile
2015-01-01T00:00:00Z,43102.4900624782,4877.39981005886,11001.1917599528
2015-01-01T01:00:00Z,41692.0028709553,4646.98598683235,10769.3745031452
2015-01-01T02:00:00Z,40592.8221167985,4360.35119073856,10637.3361950607
2015-01-01T03:00:00Z,40218.1014051541,4098.60108755324,10584.8209588907
2015-01-01T04:00:00Z,39606.057576135,3836.85098436792,10653.8409835713
2015-01-01T05:00:00Z,37483.6010324878,3720.72241746176,10987.6878420805
2015-01-01T06:00:00Z,37678.6479670104,3643.30337285765,11253.2648935687
2015-01-01T07:00:00Z,38082.1933487812,3610.12378231303,11371.0490661214
2015-01-01T08:00:00Z,39974.0525314165,3524.40984007277,11440.0690908019
2015-01-01T09:00:00Z,42329.9889030883,3427.63603431763,11776.1666022899
2015-01-01T10:00:00Z,45379.639002471,3735.46890214826,12133.2702082458
2015-01-01T11:00:00Z,46392.3457462483,4077.4030158164,12371.8394239894
2015-01-01T12:00:00Z,46598.9225488215,4407.35561067677,12527.1344795207
2015-01-01T13:00:00Z,45802.4008309928,4451.59506473626,12722.9412886688
2015-01-01T14:00:00Z,45774.5369832039,4196.29654860129,13212.0832027092
2015-01-01T15:00:00Z,48097.805395399,4094.91446638162,13542.9291905801
2015-01-01T16:00:00Z,52560.8251533172,4044.22342527179,13572.1876793034
2015-01-01T17:00:00Z,53885.7991567982,4157.58702629923,13437.1485005806
2015-01-01T18:00:00Z,53289.1284851799,5080.1639744982,13200.0797201561
2015-01-01T19:00:00Z,51142.6513830939,5368.64208117779,12928.5009273913
2015-01-01T20:00:00Z,50796.755341576,5477.39740574071,12491.1240318613
2015-01-01T21:00:00Z,51205.1048350346,5529.93175743635,12084.5060603736
2015-01-01T22:00:00Z,47946.9562884037,5475.55409515489,11586.3615344183
2015-01-01T23:00:00Z,44986.6626664131,5224.86385548445,11222.5059695263
2015-01-02T00:00:00Z,42641.2953404544,4693.06875147765,11049.2056901653
2015-01-02T01:00:00Z,41620.9020179767,4303.20856257839,10956.1787003785
2015-01-02T02:00:00Z,41525.7806065592,3989.84576299033,10958.4293533572
2015-01-02T03:00:00Z,41841.8911556131,3811.96629145946,11154.2361625053
2015-01-02T04:00:00Z,43825.0284603156,3731.78228097663,11724.4015837794
2015-01-02T05:00:00Z,48708.8884020806,3714.27083041142,13035.78205271
2015-01-02T06:00:00Z,54815.8751795463,3827.63443143886,14285.6446735557
2015-01-02T07:00:00Z,58782.1497889513,4142.84054161273,14849.0581358937
2015-01-02T08:00:00Z,60837.3487689701,4711.50185733577,14930.0816431274
2015-01-02T09:00:00Z,62593.7320020109,5487.53561396267,15093.6290929139
2015-01-02T10:00:00Z,64619.1454895656,6049.74534263537,15202.4106535517
2015-01-02T11:00:00Z,64843.0170942147,6270.94261293282,15116.8858403606
2015-01-02T12:00:00Z,64238.6598438959,6371.40303985958,15093.6290929139
2015-01-02T13:00:00Z,63650.6365733155,6004.58423328297,15141.6430231265
2015-01-02T14:00:00Z,63104.8894855873,6075.55169083674,15635.2862431244
2015-01-02T15:00:00Z,64605.6939768399,6166.79556483444,15924.8702597189
2015-01-02T16:00:00Z,66920.3149879971,6085.68989905871,15942.8754835486
2015-01-02T17:00:00Z,66566.7323677788,6190.75860245,15703.5560501453
2015-01-02T18:00:00Z,64395.2738849165,6949.28090851168,15359.9563620617
2015-01-02T19:00:00Z,60880.5857741598,7248.81887870615,14834.8040003618
2015-01-02T20:00:00Z,59128.0458304692,7174.16479998076,14230.1285667474
2015-01-02T21:00:00Z,58004.8445178736,7003.65857079314,13585.6915971757
2015-01-02T22:00:00Z,53479.3713080147,6697.66901354833,12808.4661018599
2015-01-02T23:00:00Z,49534.2347900357,6387.99283513189,12219.5452390965
2015-01-03T00:00:00Z,47558.7840640336,5597.21259381849,11957.7192759061
2015-01-03T01:00:00Z,46482.663045978,4916.10933236092,11926.2101342041
2015-01-03T02:00:00Z,46549.9206096065,4581.54846103602,11968.9725407997
2015-01-03T03:00:00Z,47392.5617996375,4384.31422835412,12152.7758673946
2015-01-03T04:00:00Z,49123.963651902,4327.17160019395,12638.9169107968
2015-01-03T05:00:00Z,52818.3255397805,4314.26842609326,13928.5410675998
2015-01-03T06:00:00Z,58345.9364477038,4415.65050831293,15125.8884522755
2015-01-03T07:00:00Z,61551.2397657695,4798.13745486894,15522.0033765291
2015-01-03T08:00:00Z,62745.5419313437,5576.93617737456,15574.5186126991
2015-01-03T09:00:00Z,64019.5923509346,6389.8361457177,15669.0460378051
2015-01-03T10:00:00Z,65408.9414510314,6748.36005465816,15644.2888550392
2015-01-03T11:00:00Z,65162.0101102811,6854.35041334236,15507.7492409972
2015-01-03T12:00:00Z,64551.8879259371,6836.83896277714,15475.4898816357
2015-01-03T13:00:00Z,63756.327030446,6401.81766452548,15603.0268837628
2015-01-03T14:00:00Z,63148.126490777,6540.06595846139,16153.6866458881
2015-01-03T15:00:00Z,64915.0787695309,6706.88556647739,16501.0374222696
2015-01-03T16:00:00Z,67994.5143613776,6673.70597593277,16492.7850280143
2015-01-03T17:00:00Z,67590.0081572692,6728.08363821423,16190.4473112071
2015-01-03T18:00:00Z,65815.3692998149,7401.81365732856,15807.0860871662
2015-01-03T19:00:00Z,62664.8328549896,7603.65616647498,15248.1739307856
2015-01-03T20:00:00Z,60686.4996619748,7593.51795825302,14557.97368398
2015-01-03T21:00:00Z,59676.6753852101,7383.38055147043,13773.9962297281
2015-01-03T22:00:00Z,55204.0474039164,7034.07319545904,12954.0083278167
2015-01-03T23:00:00Z,50770.8131384622,6634.07479833781,12353.0839825001
2015-01-04T00:00:00Z,48624.3360363762,5809.19331118689,12104.7619371821
2015-01-04T01:00:00Z,47705.7898816787,5179.70274613205,11938.2136167572
2015-01-04T02:00:00Z,47996.9190499563,4771.40945137467,11785.9194318643
2015-01-04T03:00:00Z,48779.0284327217,4573.25356339986,11849.6879329278
2015-01-04T04:00:00Z,50507.5478179736,4495.83451879575,12355.3346354789
2015-01-04T05:00:00Z,54645.8096258,4422.10209536327,13390.6350056872
2015-01-04T06:00:00Z,60432.8425648617,4480.16637881635,14438.6890761082
2015-01-04T07:00:00Z,64002.2975488587,4950.21057819844,14903.8240250424
2015-01-04T08:00:00Z,65276.3479684496,5774.17041005646,14918.0781605742
2015-01-04T09:00:00Z,66537.9076976523,6521.63285260327,15024.6090682334
2015-01-04T10:00:00Z,68198.2086969381,6909.64973091672,15053.8675569566
2015-01-04T11:00:00Z,67847.5085437325,7042.36809309519,15069.6221278076
2015-01-04T12:00:00Z,66902.0593635836,7091.21582361922,15105.6325754671
2015-01-04T13:00:00Z,65685.6582842457,6594.44362074285,15222.6665303602
2015-01-04T14:00:00Z,65447.3743445334,6742.83012290073,15584.2714422735
2015-01-04T15:00:00Z,66626.3033527069,6821.17082279774,15630.0347195074
2015-01-04T16:00:00Z,69349.2738573226,6831.30903101971,15554.2627358907
2015-01-04T17:00:00Z,69207.0721513653,6962.18408261237,15250.4245837643
2015-01-04T18:00:00Z,67245.0729380888,7483.8409783972,14840.8057416384
2015-01-04T19:00:00Z,63883.1555790025,7653.42555229191,14382.4227516404
2015-01-04T20:00:00Z,61902.9007413127,7631.30582526216,13741.7368703665
2015-01-04T21:00:00Z,60356.9376001952,7429.46331611574,12931.5017980296
2015-01-04T22:00:00Z,55965.9795175933,7093.98078949793,12161.0282616499
2015-01-04T23:00:00Z,52349.4442390563,6722.55370645679,11617.8706761203
2015-01-05T00:00:00Z,49994.468689722,5831.31303821663,11375.5503720788
2015-01-05T01:00:00Z,48849.1684633628,5235.92371899932,11230.008146122
2015-01-05T02:00:00Z,48658.925640528,4870.02656771561,11271.2701173984
2015-01-05T03:00:00Z,49517.9008102974,4644.22102095363,11479.8306267592
2015-01-05T04:00:00Z,51396.308480207,4538.23066226943,12013.2353827144
2015-01-05T05:00:00Z,54729.4011691668,4461.73327295823,13224.8369029219
2015-01-05T06:00:00Z,60357.8984225328,4587.07839279345,14417.6829816402
2015-01-05T07:00:00Z,63548.7894055352,4972.33030522819,14892.5707601488
2015-01-05T08:00:00Z,64713.3060786454,5750.2073724409,14938.3340373827
2015-01-05T09:00:00Z,66135.323138219,6511.4946443813,15161.1486822753
2015-01-05T10:00:00Z,67407.4519131347,6824.85744396936,15160.3984646158
2015-01-05T11:00:00Z,67091.3413640809,6909.64973091672,14960.0903495102
2015-01-05T12:00:00Z,65432.0011871326,6940.98601087553,14741.777010575
2015-01-05T13:00:00Z,63795.7207462855,6423.93739155523,14660.7535033413
2015-01-05T14:00:00Z,63225.9531001186,6509.65133379549,15089.8780046161
2015-01-05T15:00:00Z,64984.2579778345,6587.0703783996,15501.7474997207
2015-01-05T16:00:00Z,67436.2765832612,6483.84498559412,15567.0164361034
2015-01-05T17:00:00Z,66710.8557184112,6450.6653950495,15164.8997705732
2015-01-05T18:00:00Z,64135.8518537781,7068.17444129656,14637.4967558946
2015-01-05T19:00:00Z,60308.8964833178,7293.97998805855,14107.0928705777
2015-01-05T20:00:00Z,58096.1226399409,7278.31184807915,13486.6628661123
2015-01-05T21:00:00Z,57226.5784244584,7022.09167665126,12981.0161635613
2015-01-05T22:00:00Z,53131.5536218217,6733.61356997166,12364.3372473937
2015-01-05T23:00:00Z,49137.4151646277,6457.11698209985,11890.9499042043
2015-01-06T00:00:00Z,46492.2712693535,5739.14750892603,11525.5939039931
2015-01-06T01:00:00Z,45136.5509510709,5235.92371899932,11321.5347005897
2015-01-06T02:00:00Z,44896.3453666835,4851.59346185749,11199.2492220796
2015-01-06T03:00:00Z,44957.8379962867,4611.96308570192,11228.5077108028
2015-01-06T04:00:00Z,43942.2487854967,4397.21740245481,11288.5251235685
2015-01-06T05:00:00Z,42786.3795134244,4285.69711201317,11677.888088886
2015-01-06T06:00:00Z,44975.1327983626,4264.49904027633,12136.2710788841
2015-01-06T07:00:00Z,47780.7340240076,4420.25878477746,12521.1327382441
